"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"938"	"decipio"	"cheat/deceive/mislead/dupe/trap; elude/escape notice; disappoint/frustrate/foil;"
"939"	"decludo"	"unclose;"
"940"	"decoco"	"boil/melt (down/away); stew; (hot bath); heat to boiling; smelt, fuse; consume;"
"941"	"decoco"	"|ruin; (cause to) waste away; shrivel; squander; suffer loss, become bankrupt;"
"942"	"decondo"	"stow away; hide deep down; secrete (by burying) (L+S);"
"943"	"decoquo"	"boil/melt (down/away); stew; (hot bath); heat to boiling; smelt, fuse; consume;"
"944"	"decoquo"	"|ruin; (cause to) waste away; shrivel; squander; suffer loss, become bankrupt;"
"945"	"decresco"	"decrease; abate; diminish, dwindle, shrink; (in number/amount); be subtracted;"
"946"	"decresco"	"|lose vigor/intensity, decline/weaken/fade influence/reputation; grow shorter;"
"947"	"decumbo"	"to lie down, recline; take to bed; lie ill, die; fall (in a fight), fall down;"
"948"	"decurro"	"run/hurry/rush/flow/slope down; hasten; travel downstream; come to land/end;"
"949"	"decurro"	"|run a race (over course); make for; turn (to); exercise/drill/maneuver (army);"
"950"	"decurro"	"run/hurry/rush/flow/slope down; hasten; travel downstream; come to land/end;"
"951"	"decurro"	"|run a race (over course); make for; turn (to); exercise/drill/maneuver (army);"
"952"	"decutio"	"shake/strike/knock/force down/off/aside (from upright); dislodge; overturn;"
"953"	"dedect"	"be unsuitable/unbecoming to; bring disgrace/dishonor upon; (also TRANS);"
"954"	"dedico"	"deny, refuse; contradict;"
"955"	"dedisco"	"unlearn, forget, put out of one's mind; lose the habit of, forget (how to);"
"956"	"dedo"	"give up/in, surrender; abandon/consign/devote (to); yield, hand/deliver over;"
"957"	"deduco"	"lead/draw//pull/bring/stretch down/away/out/off; escort; eject/evict (claimant);"
"958"	"deduco"	"|divert/draw (water); draw (sword); spin; deduct/reduce/lessen; describe; deduce"
"959"	"deduco"	"|launch/bring downstream (ship); remove (force); entice; found/settle (colony);"
"960"	"defendo"	"defend/guard/protect, look after; act/speak/plead/write for defense; prosecute;"
"961"	"defendo"	"|repel, fend/ward off, avert/prevent; support/preserve/maintain; defend (right);"
"962"	"defervefacio"	"boil thoroughly (liquids/solids); seethe, cause to boil (L+S);"
"963"	"defervesco"	"come to full boil; cease boiling, cool off (fermentation); calm down, subside;"
"964"	"defervesco"	"come to full boil; cease boiling, cool off (fermentation); calm down, subside;"
"965"	"defervesco"	"come to full boil; cease boiling, cool off (fermentation); calm down, subside;"
"966"	"deficio"	"fail/falter; run short/out; grow weak/faint; come to end; revolt/rebel, defect;"
"967"	"deficio"	"|pass away; become extinct, die/fade out; subside/sink; suffer eclipse, wane;"
"968"	"deficio"	"fail, disappoint, let down; leave without a sufficiency; cease to be available;"
"969"	"deficio"	"|(PASS) be left without/wanting, lack; have shortcomings; L:come to nothing;"
"970"	"defigo"	"sink/bury/stick/thrust (weapon); fasten, fix, plant, embed; attach/affix;"
"971"	"defigo"	"|declare firmly/unalterably; bewitch/enchant/curse (stick pin in wax);"
"972"	"defigo"	"|focus (thoughts/eyes); dumbfound, astonish/stupefy, fix w/glance; censure;"
"973"	"defindo"	"split down the whole length;"
"974"	"defingo"	"mold into shape; fashion, form (L+S);"
"975"	"deflecto"	"bend/turn aside/off; deviate/change one's course; digress (speech); alter pitch;"
"976"	"deflecto"	"bend downwards; bend (bow); turn (aside), change course/direction of; deflect;"
"977"	"deflecto"	"|divert, distract; turn one's eyes; modify/twist (words/ideas); round (point);"
"978"	"defloresco"	"drop/shed blossoms/petals (before bearing fruit); fade, wither, decay, decline;"
"979"	"deflorio"	"cease to flourish; drop/shed blossoms/petals (before bearing fruit)?;"
"980"	"defluo"	"flow/glide/run down; descend/fall; flow/stream away; float/swim/row downstream;"
"981"	"defluo"	"|flow/drain/die/melt/slip away, fade/disappear; originate/stem, be derived from;"
"982"	"defodio"	"bury; put/send/cause to go underground; dig down/deep/into soil; plant/insert;"
"983"	"defodio"	"|make fast/set up in ground (part burying); embed; hide; dig up; excavate; dig;"
"984"	"defremo"	"quiet down, finish/end making noise; (public indignation); cease raging/roaring;"
"985"	"defrigesco"	"cool off; grow cold (L+S);"
"986"	"defringo"	"break off; remove by breaking; break to pieces (L+S); destroy;"
"987"	"defugio"	"escape from/make one's escape/flee; keep clear of (responsibility/liability);"
"988"	"defugio"	"flee, escape, run/move away (from), make one's escape from; avoid (strongly);"
"989"	"defundo"	"pour out/away/off/down; discharge; shed; empty/pour out; wet by pouring;"
"990"	"defutuo"	"indulge in promiscuous sexual intercourse with (woman); copulate freely (rude);"
"991"	"degero"	"remove; carry off/away (to a destination);"
"992"	"deglubo"	"skin, flay; strip (w/ABL) (of a coating); peel/skin/husk (L+S);"
"993"	"dego"	"spend/bide one's time in; wait; remain alive, live on, endure; continue;"
"994"	"dego"	"spend/pass (time); spend/bide one's time in; carry on, wage; conduct away?;"
"995"	"deguno"	"taste;"
"996"	"dehisco"	"gape/yawn/split open; part/divide, develop/leave a gap/leak; be/become apart;"
"997"	"deicio"	"throw/pour/jump/send/put/push/force/knock/bring down; cause to fall/drop; hang;"
"998"	"deicio"	"|overthrow, bring down, depose; kill, destroy; shoot/strike down; fell (victim);"
"999"	"deicio"	"|unhorse; let fall; shed; purge/evacuate bowel; dislodge/rout; drive/throw out;"
"1000"	"dejicio"	"throw/pour/jump/send/put/push/force/knock/bring down; cause to fall/drop; hang;"
"1001"	"dejicio"	"|overthrow, bring down, depose; kill, destroy; shoot/strike down; fell (victim);"
"1002"	"dejicio"	"|unhorse; let fall; shed; purge/evacuate (bowel); dislodge/rout; drive/throw out"
"1003"	"dejungo"	"separate, unyoke; release (from activity);"
"1004"	"delambo"	"lick all over; lick off (L+S); lick;"
"1005"	"delibuo"	"besmear; anoint with a liquid;"
"1006"	"delicio"	"entice/lure (from one's preoccupations); allure (from the right way L+S);"
"1007"	"deligo"	"pick/pluck off, cull; choose, select,  levy (soldiers), enroll; conduct a levy;"
"1008"	"delingo"	"lick; lick up; lick off;"
"1009"	"delinguo"	"lick; lick up; lick off;"
"1010"	"delino"	"smear/daub/anoint (with); obliterate, smudge/blot out; daub w/owner mark (pig);"
"1011"	"delinquo"	"fail (duty), be wanting/lacking, fall short; offend/do wrong/err/commit offense;"
"1012"	"deliquesco"	"melt away, dissolve, melt; dissipate one's energy; vanish, disappear (L+S);"
"1013"	"delitesco"	"hide, go in hiding/seclusion; withdraw; vanish/be concealed; take refuge/shelter"
"1014"	"delitisco"	"hide, go in hiding/seclusion; withdraw; vanish/be concealed; take refuge/shelter"
"1015"	"delito"	"hide; hide oneself, go into hiding; seek safety; take refuge/shelter;"
"1016"	"deludo"	"deceive/dupe; play false/mock/make sport; play through, complete a performance;"
"1017"	"deluo"	"wash away; wash out/off, cleanse (L+S);"
"1018"	"demadesco"	"become thoroughly wet; become humid/moist (L+S);"
"1019"	"demarcesco"	"wither, fade away;"
"1020"	"demergo"	"submerge/sink; plunge/dip/immerse; set; retract; conceal; bury; overwhelm/engulf"
"1021"	"demeto"	"reap, cut, mow; cut off/down (body); pick (fruit); gather; take (honey); shear;"
"1022"	"deminuo"	"make smaller; cut up small; lessen/diminish/reduce (size/number/amount/scope);"
"1023"	"deminuo"	"|weaken; curtail; impair; understate; make diminutive; take away/deduct/deprive;"
"1024"	"demitto"	"drop, let fall; sink; send/cast/go/flow/float/slope down; flow/shed/let (blood);"
"1025"	"demitto"	"|bend/stoop/bow/sag; lower (eyes); let (clothes/hair/beard) hang down;"
"1026"	"demitto"	"|bring/strike down; plunge/insert/thrust/plant; dismiss/demote; depose; absorb;"
"1027"	"demitto"	"|descend by race/birth; leave (will); let issue rest (on evidence); fell (tree);"
"1028"	"demo"	"take/cut away/off, remove, withdraw; subtract; take away from;"
"1029"	"denubo"	"marry; marry off; (from paternal home) (of a woman); marry beneath station;"
"1030"	"denubo"	"marry; marry off; (from paternal home) (of a woman); marry beneath station;"
"1031"	"depango"	"drive down (into); fix into the ground (L+S);"
"1032"	"depasco"	"graze/feed/pasture (cattle); devour/eat up; waste/consume (w/fire); lay waste;"
"1033"	"depecto"	"comb out; comb thoroughly; comb off/away;"
"1034"	"depello"	"drive/push out//off/away/aside, repel; expel; remove, wean; banish utterly;"
"1035"	"depello"	"|dislodge; avert; rebut; veer away; force to withdraw/desist; turn out/dismiss;"
"1036"	"dependo"	"pay over/down; pay (penalty); expend (time/labor); spend, lay out; bestow;"
"1037"	"deperdo"	"lose permanently/utterly (destruction); be deprived/desperate; destroy, ruin;"
"1038"	"depingo"	"paint, depict, portray; describe; decorate/color w/paint; embroider;"
"1039"	"deplango"	"mourn by beating the breast; bewail, lament (L+S);"
"1040"	"depluo"	"rain down; [depluta terra => drenched (L+S)];"
"1041"	"deponefacio"	"deposit, put down;"
"1042"	"depono"	"put/lay down/aside/away; let drop/fall; give up; resign; deposit/entrust/commit;"
"1043"	"depono"	"|lift off; take off (clothes); have (hair/beard/nails) cut; shed (tusks);"
"1044"	"depono"	"||pull down, demolish; plant (seedlings); set up, place; lay to rest; fire;"
"1045"	"depono"	"put/lay down/aside/away; let drop/fall; give up; resign; deposit/entrust/commit;"
"1046"	"depono"	"|lift off; take off (clothes); have (hair/beard/nails) cut; shed (tusks);"
"1047"	"depono"	"||pull down, demolish; plant (seedlings); set up, place; lay to rest; fire;"
"1048"	"deposco"	"demand peremptorily; ask for earnestly; require; request earnestly; challenge;"
"1049"	"deprehendo"	"seize/catch; catch napping/redhanded; surprise/pounce on; arrest; intercept;"
"1050"	"deprehendo"	"|discover, discern, recognize; detect; indicate, reveal; embarrass;"
"1051"	"deprendo"	"seize/catch; catch napping/redhanded; surprise/pounce on; arrest; intercept;"
"1052"	"deprendo"	"|discover, discern, recognize; detect; indicate, reveal; embarrass;"
"1053"	"deprimo"	"suppress/repress/depress/silence, force//weigh/keep down, disparage; sink;"
"1054"	"deprimo"	"|humble, reduce position/fortune/value; lower pitch (sound)/brightness (color);"
"1055"	"depromo"	"bring/draw out, fetch, produce (from container/store); bring/utter (info);"
"1056"	"depso"	"knead; work up into a paste; soften/dress (leather) by rubbing/squeezing;"
"1057"	"depso"	"|dishonor; have improper sex; (rude);"
"1058"	"depudesco"	"put off all shame; become shameless (L+S);"
"1059"	"depudt"	"make/be utterly/greatly ashamed (W/INF); not to be ashamed. be shameless (L+S);"
"1060"	"depungo"	"indicate by pricking (in accounts); mark off (L+S); designate;"
"1061"	"derado"	"scrape/rub/smooth off/away (surface of); graze; shave/cut off (hair/head);"
"1062"	"derelinquo"	"leave behind/abandon/discard; forsake/desert; neglect; leave derelict; bequeath;"
"1063"	"derepo"	"crawl/creep/sneak down;"
"1064"	"derigesco"	"freeze, become/grow stiff/rigid (through fear); grow quite/very still;"
"1065"	"derigo"	"direct, steer, guide, align, point; set in order, form up; straighten, level;"
"1066"	"derigo"	"arrange/set in line/direction; align; set in order; form up, fall in (army);"
"1067"	"derigo"	"|mark/fix (boundary); demarcate; straighten (out); level; square (up);"
"1068"	"derigo"	"||point; direct (word/attention); bring proceedings; end word w/inflection;"
"1069"	"derigo"	"|||direct (course/steps), turn/steer/guide; propel/direct (missiles/blows);"
"1070"	"deripio"	"seize/grab/snatch/take away; tear/pull off/down; remove (violently);"
"1071"	"derodo"	"gnaw/nibble away;"
"1072"	"deruo"	"fall down/off; cause to fall/collapse; throw/cast down (L+S); detract/take away;"
"1073"	"derupio"	"seize/grab/snatch/take away; tear/pull off/down; remove (violently);"
"1074"	"descendo"	"descend, climb/march/come/go/flow/run/hang down; dismount; penetrate/sink;"
"1075"	"descendo"	"|stoop; demean; drop/become lower (pitch); be reduced; trace descent/come down;"
"1076"	"descindo"	"cut/slit down; divide (L+S), divide into two parties;"
"1077"	"descisco"	"desert/defect/revolt; deviate/abandon standard/principle; degenerate; fall away;"
"1078"	"describo"	"describe/draw, mark/trace out; copy/transcribe/write; establish (law/right)"
"1079"	"desculpo"	"carve out, sculpt; copy by carving/graving;"
"1080"	"desenesco"	"die away; lose force with the passage of time; diminish by age (L+S);"
"1081"	"desero"	"leave/depart/quit/desert; forsake/abandon/give up; withdraw support, let down;"
"1082"	"desero"	"|cease to be concerned with; fail/fall short; (PASS w/ABL) be without/deprived;"
"1083"	"desero"	"plant, sow;"
"1084"	"deserpo"	"creep over; spread over; creep down (L+S);"
"1085"	"desido"	"sink/settle down, subside; sit down; defecate; be depressed; deteriorate;"
"1086"	"desido"	"sink/settle down, subside; sit down; defecate; be depressed; deteriorate;"
"1087"	"desino"	"stop/end/finish, abandon/leave/break off, desist/cease; come to/at end/close;"
"1088"	"desipio"	"act/be foolish; be out of one's mind/lose one's reason/lack rational thought;"
"1089"	"desisto"	"stop/cease/desist (from); give up, leave/stand off; dissociate oneself;"
"1090"	"desolvo"	"disperse, pay out (sum of money);"
"1091"	"desperno"	"despise utterly/greatly/completely; disdain (L+S);"
"1092"	"despicio"	"look down on/over; relax attention; disdain, despise; express contempt for;"
"1093"	"desplendesco"	"dim; go out; cease to shine; lose its brightness;"
"1094"	"desposco"	"demand;"
"1095"	"despuo"	"spit (out/down/upon), spurn/reject, abhor; spit on ground (avert evil/disease);"
"1096"	"dessico"	"divide; penetrate through; open by force; dismember, dissect;"
"1097"	"desterno"	"unsaddle; ungird; free from its covering;"
"1098"	"desterto"	"snore off; (finish dreaming that one is); cease snoring (L+S);"
"1099"	"destituo"	"fix/set (in position), set up, make fast; leave destitute/without; render void;"
"1100"	"destituo"	"|desert/leave/abandon/forsake/leave in lurch; disappoint/let down; fail/give up;"
"1101"	"destringo"	"strip off, remove by cutting; strip (clothes); scrape/rub down (w/strigil);"
"1102"	"destringo"	"|scour (bowels); draw (sword); graze; touch lightly; censure/criticize/satirize;"
"1103"	"destruo"	"demolish, pull/tear down; destroy, ruin; demolish/refute (arguments/evidence);"
"1104"	"desudasco"	"sweat away; perspire freely/greatly;"
"1105"	"desuefacio"	"be disaccustomed; bring out of use (L+S);"
"1106"	"desuesco"	"forget/unlearn; become/be unaccustomed to; disaccustom; lay aside custom/habit;"
"1107"	"desugo"	"suck away from; suck in;"
"1108"	"desumo"	"choose, pick out, select, take; pick (fight); take for/upon one's self (L+S);"
"1109"	"desuo"	"fasten;"
"1110"	"desurgo"	"rise, get up (from table); go to stool, defecate (euphemism);"
"1111"	"desurgo"	"rise; rise from;"
"1112"	"detego"	"uncover/disclose/reveal; expose, lay bare; fleece; unsheathe; remove; unroof;"
"1113"	"detendo"	"unstretch, loosen, relax; strike (tent); let down;"
